Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
C,I,1,1,0,2,0,0,0,8.478064
C,T,1,1,3,0,0,0,0,16.5668
C,I,1,1,0,2,0,0,0,24.63985
C,O,1,1,1,1,0,0,0,32.71524
C,S,1,1,1,0,1,0,0,40.81753
C,O,1,1,4,3,0,1,1,49.6988
C,I,1,1,5,0,1,0,1,57.38573
C,T,1,1,0,4,0,1,2,66.71309
C,Z,1,1,1,2,6,0,2,74.82916
C,S,1,1,1,0,4,0,2,82.5284
C,Z,1,1,0,3,5,0,2,89.82476
C,J,1,1,3,3,3,0,2,97.09055
C,I,1,1,4,0,1,0,2,103.9811
C,L,1,1,0,4,3,0,2,110.8856
C,S,1,1,0,4,1,0,2,117.3879
C,T,1,1,2,0,1,0,2,123.8469
C,O,1,1,2,3,0,0,2,129.9051
C,J,1,1,4,0,3,0,2,136.3929
C,J,1,1,1,0,3,1,3,144.5225
C,T,1,1,0,4,1,0,3,150.1752
C,S,1,1,2,0,1,0,3,156.2309
C,J,1,1,0,3,2,0,3,161.8838
C,T,1,1,0,2,2,0,3,167.1284
C,Z,1,1,3,1,0,0,3,172.7838
C,J,1,1,2,0,2,0,3,178.4363
C,I,1,1,5,0,1,0,3,183.7129
C,T,1,1,1,2,1,1,4,190.1731
C,S,1,1,3,1,5,0,4,195.0179
C,T,1,1,2,4,0,0,4,199.4737
C,O,1,1,2,1,0,0,4,204.3454
C,L,1,1,3,0,2,0,4,207.9796
C,J,1,1,0,3,1,0,4,212.8228
C,I,1,1,0,3,1,0,4,216.8753
C,L,1,1,0,4,3,0,4,220.1055
C,J,1,1,2,1,0,0,4,224.1395
C,O,1,1,0,0,0,0,4,227.7903
C,J,1,1,4,1,3,0,4,230.6153
C,I,1,1,4,2,1,0,4,233.0372
C,L,1,1,2,1,0,0,4,234.248
C,Z,1,1,0,3,1,0,4,237.0822
C,S,1,1,0,0,0,0,4,245.2313
C,I,2,1,2,4,4,0,0,8.451011
C,S,2,1,1,3,0,0,0,16.54322
C,T,2,1,2,0,0,0,0,24.62789
C,J,2,1,4,0,3,0,0,32.71546
C,L,2,1,0,5,0,1,1,42.0023
C,O,2,1,1,0,2,0,1,50.07751
C,T,2,1,0,3,0,0,1,57.76237
C,Z,2,1,0,0,1,0,1,65.43505
C,L,2,1,1,0,3,0,1,72.70034
C,J,2,1,1,2,2,1,2,81.17614
C,L,2,1,3,9,3,0,2,88.47812
C,T,2,1,1,0,1,0,2,95.75485
C,S,2,1,3,0,1,0,2,103.0225
C,O,2,1,0,4,0,0,2,109.4826
C,T,2,1,0,0,2,0,2,115.942
C,L,2,1,0,3,1,0,2,122.0135
C,Z,2,1,0,2,1,0,2,128.0957
C,I,2,1,5,0,1,0,2,134.1516
C,O,2,1,4,1,0,1,3,141.8371
C,I,2,1,0,4,1,0,3,147.4888
C,O,2,1,1,0,0,0,3,153.9623
C,L,2,1,0,2,3,0,3,160.0175
C,Z,2,1,4,1,1,2,5,168.093
C,L,2,1,2,0,3,1,6,175.7639
C,J,2,1,1,2,5,0,6,182.6399
C,I,2,1,1,4,1,1,7,191.1205
C,L,2,1,0,2,3,0,7,197.9837
C,O,2,1,2,0,0,0,7,204.4426
C,L,2,1,0,3,3,0,7,210.9025
C,O,2,1,4,0,0,1,8,218.6007
C,I,2,1,1,0,1,0,8,225.1161
C,Z,2,1,1,3,2,0,8,232.0361
C,J,2,1,0,3,5,0,8,238.1057
C,Z,2,1,3,0,0,0,8,244.1774
C,O,2,1,0,3,0,0,8,249.8423
C,I,2,1,0,0,1,0,8,255.5218
C,Z,2,1,2,0,1,1,9,262.7911
C,S,2,1,2,1,0,0,9,268.4438
C,L,2,1,2,5,3,0,9,273.6911
C,I,2,1,5,0,1,0,9,279.3434
C,S,2,1,2,0,3,1,10,285.8309
C,I,2,1,5,3,0,0,10,291.0934
C,Z,2,1,1,3,0,0,10,296.7448
C,L,2,1,0,5,3,0,10,300.7818
C,S,2,1,1,4,3,0,10,305.6974
C,J,2,1,5,2,0,0,10,310.1386
C,O,2,1,2,0,0,0,10,314.2046
C,J,2,1,5,0,2,0,10,317.8368
C,T,2,1,0,4,0,0,10,321.4991
C,Z,2,1,2,1,1,0,10,325.132
C,O,2,1,2,4,0,0,10,328.3623
C,S,2,1,0,0,0,0,10,331.6192
C,J,2,1,0,3,2,0,10,334.8492
C,T,2,1,0,1,0,0,10,337.2982
C,Z,2,1,3,0,0,0,10,339.7213
C,I,2,1,2,0,1,0,10,341.7401
C,O,2,1,0,2,0,0,10,343.3558
C,I,2,1,1,2,0,0,10,345.0538
C,S,2,1,0,0,0,0,10,353.1517
C,S,8,1,3,1,2,0,0,8.425592
C,T,8,1,2,2,0,0,0,16.52577
C,S,8,1,2,6,4,0,0,24.62885
C,Z,8,1,2,2,0,0,0,32.30104
C,T,8,1,5,4,3,0,0,39.58016
C,O,8,1,5,1,0,0,0,46.84905
C,J,8,1,1,4,5,0,0,54.13202
C,S,8,1,0,4,0,0,0,61.40892
C,Z,8,1,3,0,1,1,1,69.90441
C,O,8,1,1,1,0,0,1,77.17106
C,S,8,1,2,4,1,0,1,84.06155
C,Z,8,1,0,2,0,0,1,90.63447
C,O,8,1,4,0,0,0,1,97.52544
C,L,8,1,0,0,2,0,1,103.5956
C,S,8,1,2,0,0,0,1,109.6523
C,Z,8,1,0,3,2,0,1,116.1389
C,L,8,1,0,1,3,1,2,123.433
C,I,8,1,2,6,1,0,2,129.5037
C,T,8,1,5,1,1,1,3,136.7714
C,Z,8,1,3,0,1,0,3,142.8284
C,S,8,1,0,3,0,0,3,149.2972
C,L,8,1,3,5,3,0,3,154.6196
C,T,8,1,0,4,3,0,3,160.2722
C,T,8,1,3,0,2,1,4,167.2045
C,S,8,1,0,4,4,0,4,172.8589
C,J,8,1,0,3,6,0,4,178.5243
C,L,8,1,0,2,0,0,4,183.7989
C,J,8,1,4,0,4,0,4,189.0499
C,T,8,1,1,0,2,0,4,193.8945
C,Z,8,1,0,0,1,1,5,200.3544
C,S,8,1,3,0,1,0,5,205.644
C,T,8,1,0,5,3,1,6,212.1453
C,S,8,1,0,0,1,1,7,219.4259
C,J,8,1,1,3,6,0,7,225.1177
C,L,8,1,2,1,3,0,7,230.3676
C,O,8,1,0,0,0,0,7,235.6317
C,L,8,1,2,0,2,0,7,240.0726
C,T,8,1,1,0,1,0,7,244.5289
C,S,8,1,0,5,1,0,7,249.3841
C,O,8,1,0,1,0,1,8,255.441
C,I,8,1,0,2,1,0,8,260.6911
C,O,8,1,4,0,0,2,10,267.5557
C,J,8,1,3,1,3,1,11,274.4605
